day,cashback
2022-01-01 00:00:00,10629.12580645161
2022-01-02 00:00:00,11218.575151515151
2022-01-03 00:00:00,8484.456666666665
2022-01-04 00:00:00,8542.2159375
2022-01-05 00:00:00,7911.638787878787
2022-01-06 00:00:00,8061.451818181819
2022-01-07 00:00:00,7924.4103125
2022-01-08 00:00:00,8177.1209375
2022-01-09 00:00:00,7336.702424242424
2022-01-10 00:00:00,5511.250263157895
2022-01-11 00:00:00,6495.3815151515155
2022-01-12 00:00:00,6181.583055555555
2022-01-13 00:00:00,4959.513333333334
2022-01-14 00:00:00,6368.191025641026
2022-01-15 00:00:00,9135.726857142858
2022-01-16 00:00:00,7887.501764705882
2022-01-17 00:00:00,5511.530000000001
2022-01-18 00:00:00,6089.014117647059
2022-01-19 00:00:00,5483.583055555555
2022-01-20 00:00:00,5657.039210526316
2022-01-21 00:00:00,5776.390270270269
2022-01-22 00:00:00,7066.814634146342
2022-01-23 00:00:00,6925.61875
2022-01-24 00:00:00,3742.68358974359
2022-01-25 00:00:00,4626.842195121952
2022-01-26 00:00:00,5944.739268292683
2022-01-27 00:00:00,4966.10605263158
2022-01-28 00:00:00,5852.104000000001
2022-01-29 00:00:00,7871.79975
2022-01-30 00:00:00,6891.568461538461
2022-01-31 00:00:00,7312.6362500000005
2022-02-01 00:00:00,4349.523947368421
2022-02-02 00:00:00,3575.54076923077
2022-02-03 00:00:00,1925.595277777778
2022-02-04 00:00:00,1740.5341666666666
2022-02-05 00:00:00,2159.8640540540537
2022-02-06 00:00:00,1363.8444999999997
2022-02-07 00:00:00,2215.5526315789475
2022-02-08 00:00:00,2331.890263157894
2022-02-09 00:00:00,2087.1448717948715
2022-02-10 00:00:00,2547.642682926829
2022-02-11 00:00:00,2603.011794871795
2022-02-12 00:00:00,3035.418235294117
2022-02-13 00:00:00,2470.596486486486
2022-02-14 00:00:00,2481.8325714285716
2022-02-15 00:00:00,2507.4367567567574
2022-02-16 00:00:00,2641.7883333333334
2022-02-17 00:00:00,2230.5384210526317
2022-02-18 00:00:00,2112.261282051282
2022-02-19 00:00:00,2370.7720512820515
2022-02-20 00:00:00,2274.8
2022-02-21 00:00:00,2712.939722222222
2022-02-22 00:00:00,3521.5597222222223
2022-02-23 00:00:00,4392.297428571429
2022-02-24 00:00:00,3713.090277777777
2022-02-25 00:00:00,4374.745806451612
2022-02-26 00:00:00,4630.101785714285
2022-02-27 00:00:00,4557.520625
2022-02-28 00:00:00,3275.968484848484
2022-03-01 00:00:00,7297.041904761903
2022-03-02 00:00:00,7900.66375
